year,male,female,sum
2000,12401,8772,21173
2001,12609,9005,21614
2002,12988,9243,22232
2003,13090,9131,22222
2004,13276,9406,22682
2005,13323,9508,22831
2006,13481,9707,23188
2007,13712,9849,23561
2008,13835,9940,23775
2009,13840,9847,23688
2010,14041,9992,24033
2011,14333,10193,24527
2012,14568,10387,24955
2013,14745,10554,25299
2014,15057,10840,25897
2015,15156,11022,26178
2016,15241,11168,26409
2017,15368,11356,26725
2018,15372,11450,26822
2019,15463,11660,27123
2020,15381,11523,26904
2021,15548,11725,27273
2022,15928,12161,28089
2023,15952,12464,28416
